Year,Alfalfa,Corn,Fruits/Veg,Small Grains,Soybeans,Hay,Pasture,Developed/High Intensity,Developed/Medium Intensity,Developed/Low Intensity,Developed/Open Space,Deciduous Forest,Grassland (Non-Ag),Herbaceous Wetlands,Woody Wetlands,Open Water,Barren
1974,2754,11660,34,623,2393,15,131,225,508,1766,653,1943,1075,1776,281,2063,44
1975,2863,11215,22,551,2781,32,116,225,508,1768,655,1982,1069,1765,282,2063,47
1976,3845,10650,7,475,2159,0,170,224,489,1744,730,1844,1450,1773,291,2063,30
1977,3626,10900,32,385,2327,0,154,225,489,1743,732,1825,1378,1746,290,2063,29
1978,2524,12034,71,385,2611,4,219,206,457,1806,738,1633,1340,1559,236,2063,58
1979,3139,11365,9,523,2343,0,135,225,507,1776,699,1931,1107,1790,288,2063,44
1980,2760,12046,9,487,2158,14,120,225,508,1780,694,1928,1065,1757,287,2063,43
1981,2751,11091,34,622,2386,15,131,256,562,2008,938,1916,1070,1776,281,2063,44
1982,2860,10643,22,549,2780,32,116,256,562,2010,938,1955,1064,1765,282,2063,47
1983,3833,10082,7,474,2158,0,170,255,543,1972,1025,1830,1439,1772,291,2063,30
1984,3615,10325,32,385,2326,0,154,256,543,1974,1029,1810,1368,1745,290,2063,29
1985,2521,11458,71,385,2598,4,218,239,504,2040,1039,1618,1333,1559,236,2063,58
1986,3127,10801,9,521,2341,0,135,259,561,2013,991,1900,1103,1788,288,2063,44
1987,2747,11485,9,485,2152,14,120,258,562,2020,984,1899,1061,1755,287,2063,43
1988,2743,11079,34,620,2384,15,130,258,562,2013,991,1886,1066,1775,281,2063,44
1989,2852,10635,22,548,2774,32,115,258,562,2015,989,1926,1060,1764,282,2063,47
1990,3827,10081,7,474,2156,0,170,257,543,1976,1048,1815,1436,1770,291,2063,30
1991,3610,10324,32,385,2326,0,154,258,543,1976,1047,1798,1365,1744,290,2063,29
1992,2520,10821,71,385,2598,4,218,298,630,2326,1206,1618,1333,1559,236,2063,58
1993,3126,10157,9,521,2341,0,135,331,716,2236,1190,1897,1103,1787,288,2063,44
1994,2746,10840,9,485,2152,14,120,330,719,2235,1189,1897,1061,1754,287,2063,43
1995,2742,10433,34,620,2384,15,130,330,718,2235,1191,1884,1066,1774,281,2063,44
1996,2852,9989,22,547,2774,32,115,330,717,2237,1190,1924,1060,1763,282,2063,47
1997,3826,9440,7,474,2156,0,170,322,681,2248,1225,1811,1431,1769,291,2063,30
1998,3607,9684,32,385,2325,0,154,322,683,2250,1222,1794,1361,1743,290,2063,29
1999,2519,10818,71,385,2597,4,218,300,635,2328,1214,1612,1327,1559,236,2063,58
2000,3126,10156,9,521,2341,0,135,331,717,2237,1192,1895,1102,1787,288,2063,44
2001,4316,6415,2,4,3328,0,132,330,807,2693,2223,2394,1326,1810,66,2063,35
2002,4316,6415,2,4,3328,0,132,330,807,2693,2223,2394,1326,1810,66,2063,35
2003,4316,6415,2,4,3328,0,132,330,807,2693,2223,2394,1326,1810,66,2063,35
2004,4147,7233,5,10,2866,0,109,334,832,2758,2154,2083,1413,1770,133,2063,34
2005,5400,5788,1,7,2500,0,143,322,741,2597,2538,2066,1733,1915,115,2063,15
2006,3287,7786,24,438,2999,0,127,376,1005,2771,2110,1867,1252,1556,254,2063,29
2007,2674,9019,24,528,2111,0,70,377,1012,2792,2133,1956,1236,1624,286,2063,39
2008,3860,7319,7,476,2166,0,171,369,999,2753,2356,1904,1513,1693,265,2063,30
2009,3640,7585,32,388,2337,0,154,374,1008,2777,2329,1883,1446,1642,257,2063,29
2010,2529,8527,71,389,2618,4,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2011,2531,8499,71,403,2633,1,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2012,2554,8447,71,402,2658,6,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2013,2455,8525,71,402,2683,2,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2014,2564,8506,71,419,2575,3,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2015,2519,8556,71,350,2638,4,219,331,848,2914,2575,1667,1364,1559,236,2063,30
2016,2477,8574,71,387,2625,4,219,331,848,2914,2575,1667,1364,1559,236,2063,30
